date,capital,peak,drawdown
2021-09-23,100000.0,100000.0,0.0
2021-09-24,100000.0,100000.0,0.0
2021-09-27,100000.0,100000.0,0.0
2021-09-28,100000.0,100000.0,0.0
2021-09-29,100000.0,100000.0,0.0
2021-09-30,100000.0,100000.0,0.0
2021-10-01,100000.0,100000.0,0.0
2021-10-04,100000.0,100000.0,0.0
2021-10-05,100000.0,100000.0,0.0
2021-10-06,100000.0,100000.0,0.0
2021-10-07,100000.0,100000.0,0.0
2021-10-08,100000.0,100000.0,0.0
2021-10-11,100000.0,100000.0,0.0
2021-10-12,100000.0,100000.0,0.0
2021-10-13,100385.36405341396,100385.36405341396,0.0
2021-10-14,100385.36405341396,100385.36405341396,0.0
2021-10-18,100385.36405341396,100385.36405341396,0.0
2021-10-19,100385.36405341396,100385.36405341396,0.0
2021-10-20,100385.36405341396,100385.36405341396,0.0
2021-10-21,100385.36405341396,100385.36405341396,0.0
2021-10-22,100385.36405341396,100385.36405341396,0.0
2021-10-25,100385.36405341396,100385.36405341396,0.0
2021-10-26,100385.36405341396,100385.36405341396,0.0
2021-10-27,100385.36405341396,100385.36405341396,0.0
2021-10-28,100385.36405341396,100385.36405341396,0.0
2021-10-29,100385.36405341396,100385.36405341396,0.0
2021-11-01,100385.36405341396,100385.36405341396,0.0
2021-11-02,100385.36405341396,100385.36405341396,0.0
2021-11-03,100385.36405341396,100385.36405341396,0.0
2021-11-04,100385.36405341396,100385.36405341396,0.0
2021-11-08,100385.36405341396,100385.36405341396,0.0
2021-11-09,100385.36405341396,100385.36405341396,0.0
2021-11-10,100385.36405341396,100385.36405341396,0.0
2021-11-11,100385.36405341396,100385.36405341396,0.0
2021-11-12,100385.36405341396,100385.36405341396,0.0
2021-11-15,100385.36405341396,100385.36405341396,0.0
2021-11-16,100385.36405341396,100385.36405341396,0.0
2021-11-17,100385.36405341396,100385.36405341396,0.0
2021-11-18,100385.36405341396,100385.36405341396,0.0
2021-11-22,100385.36405341396,100385.36405341396,0.0
2021-11-23,100385.36405341396,100385.36405341396,0.0
2021-11-24,100385.36405341396,100385.36405341396,0.0
2021-11-26,100385.36405341396,100385.36405341396,0.0
2021-11-29,100728.37126651284,100728.37126651284,0.0
2021-11-30,100728.37126651284,100728.37126651284,0.0
2021-12-01,100728.37126651284,100728.37126651284,0.0
2021-12-02,100728.37126651284,100728.37126651284,0.0
2021-12-03,100728.37126651284,100728.37126651284,0.0
2021-12-06,100728.37126651284,100728.37126651284,0.0
2021-12-07,100728.37126651284,100728.37126651284,0.0
2021-12-08,100728.37126651284,100728.37126651284,0.0
2021-12-09,100728.37126651284,100728.37126651284,0.0
2021-12-10,100728.37126651284,100728.37126651284,0.0
2021-12-13,100728.37126651284,100728.37126651284,0.0
2021-12-14,100728.37126651284,100728.37126651284,0.0
2021-12-15,100728.37126651284,100728.37126651284,0.0
2021-12-16,100728.37126651284,100728.37126651284,0.0
2021-12-17,101016.8413798547,101016.8413798547,0.0
2021-12-20,101016.8413798547,101016.8413798547,0.0
2021-12-21,101016.8413798547,101016.8413798547,0.0
2021-12-22,101016.8413798547,101016.8413798547,0.0
2021-12-23,101016.8413798547,101016.8413798547,0.0
2021-12-27,101016.8413798547,101016.8413798547,0.0
2021-12-28,101016.8413798547,101016.8413798547,0.0
